Date,Open,High,Low,Close,Volume
2015-06-23,224.42631944296474,226.69850009535932,224.05326967732813,224.95762634277344,16007498
2015-06-24,224.9576197073544,227.54632964396677,223.06977786506212,224.03065490722656,18603004
2015-06-25,223.1489222765948,228.1228536221881,222.69674395568074,227.11676025390625,27175118
2015-06-26,226.06544225477936,229.27589161383042,225.0480448431701,226.24632263183594,20966796
2015-06-29,223.35239230023276,224.69762316160364,219.75758904177843,224.01934814453125,20168946
2015-06-30,223.80457910973092,226.73241154279566,223.3750089405402,226.1106719970703,23184864
2015-07-01,226.31415357430961,228.45068518123534,226.31415357430961,227.36546325683594,14824266
2015-07-02,228.12285635275413,230.5533091971725,227.69328618813242,228.54112243652344,15931202
2015-07-03,228.29241982786132,229.2080805704407,226.77762770193715,227.7158966064453,13831096
2015-07-06,225.2063361587193,230.36113304350897,225.00284760380214,229.60374450683594,12237733
2015-07-07,228.5750385563082,229.84112581771387,226.0880652654423,226.82286071777344,11294999
2015-07-08,225.1497901518565,228.0550294535526,224.2002322780763,225.31936645507812,15190654
2015-07-09,225.18371186855288,226.31416526608132,222.27848753685146,223.23936462402344,16245867
2015-07-10,224.07587684768643,226.9924202893362,223.8837074713279,226.49502563476562,16110573
2015-07-13,226.49503018629045,228.91417902198359,224.9915421114032,227.67068481445312,9860248
2015-07-14,228.1002491454954,228.68807644451027,225.0028404255945,225.59066772460938,9942927
2015-07-15,226.03154184902354,229.3437281042176,225.98632552544936,228.60894775390625,13532911
2015-07-16,228.80111967794434,232.3733149257151,228.6089503006133,231.44635009765625,14854295
2015-07-17,231.79677576545356,233.130687418507,230.15763885362756,230.99415588378906,10195142
2015-07-20,232.3733256629612,232.8594162614903,230.13505714875797,231.6837615966797,6348354
2015-07-21,232.41853181424887,232.5202685436712,226.7098048710092,227.85154724121094,7923338
2015-07-22,227.21850275945778,238.28551499980725,227.128070111421,237.48291015625,17309440
2015-07-23,238.18376369112937,241.4281252942412,235.4028844730664,236.32984924316406,18642915
2015-07-24,236.94029568218636,237.31333034983774,230.8585190846162,231.75157165527344,13099664
2015-07-27,231.7176695709245,232.84810788873477,226.48372899121154,227.29763793945312,20118553
2015-07-28,227.96459755949664,229.8637284055508,226.11066794429186,228.4054718017578,13382878
2015-07-29,228.23589288790652,228.95938423337495,224.30196717931514,225.18370056152344,14790821
2015-07-30,226.11065942063266,227.89676448388684,224.34717761029637,226.12196350097656,11701228
2015-07-31,226.08806630467416,227.87417148678233,223.8271897165298,226.50633239746094,16634259
